Packet,Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (G),Magnetometer Y (G),Magnetometer Z (G)
0,-0.014241253957152367,-0.013852166011929512,-0.0020703414920717478,-0.0010833740234375,-0.015167236328125,0.0,0,0,0
1,-0.011232414282858372,-0.0009158611064776778,0.0010894992155954242,-0.0021820068359375,-0.017547607421875,0.0,0,0,0
2,-0.011232414282858372,-0.0009158611064776778,0.0010894992155954242,-0.0021820068359375,-0.017547607421875,0.0,0,0,0
3,-0.011232414282858372,-0.0009158611064776778,0.0010894992155954242,-0.0021820068359375,-0.017547607421875,0.0,0,0,0
4,-0.011232414282858372,-0.0009158611064776778,0.0010894992155954242,-0.0021820068359375,-0.017547607421875,0.0,0,0,0
5,-0.011232414282858372,-0.0009158611064776778,0.0010894992155954242,-0.0021820068359375,-0.017547607421875,0.0,0,0,0
6,-0.011232414282858372,-0.0009158611064776778,0.0010894992155954242,-0.0021820068359375,-0.017547607421875,0.0,0,0,0
7,-0.011232414282858372,-0.0009158611064776778,0.0010894992155954242,-0.0021820068359375,-0.017547607421875,0.0,0,0,0
8,-0.007505853194743395,0.004986769054085016,0.001919073867611587,0.0011138916015625,-0.0228118896484375,0.0,0,0,0
9,-0.007505853194743395,0.004986769054085016,0.001919073867611587,0.0011138916015625,-0.0228118896484375,0.0,0,0,0
10,-0.007505853194743395,0.004986769054085016,0.001919073867611587,0.0011138916015625,-0.0228118896484375,0.0,0,0,0
11,-0.007505853194743395,0.004986769054085016,0.001919073867611587,0.0011138916015625,-0.0228118896484375,0.0,0,0,0
12,-0.007505853194743395,0.004986769054085016,0.001919073867611587,0.0011138916015625,-0.0228118896484375,0.0,0,0,0
13,-0.007505853194743395,0.004986769054085016,0.001919073867611587,0.0011138916015625,-0.0228118896484375,0.0,0,0,0
14,-0.00974210910499096,0.005263737868517637,0.0003352919884491712,-0.000579833984375,-0.015533447265625,0.0,0,0,0
15,-0.00974210910499096,0.005263737868517637,0.0003352919884491712,-0.000579833984375,-0.015533447265625,0.0,0,0,0
16,-0.00974210910499096,0.005263737868517637,0.0003352919884491712,-0.000579833984375,-0.015533447265625,0.0,0,0,0
17,-0.00974210910499096,0.005263737868517637,0.0003352919884491712,-0.000579833984375,-0.015533447265625,0.0,0,0,0
18,-0.00974210910499096,0.005263737868517637,0.0003352919884491712,-0.000579833984375,-0.015533447265625,0.0,0,0,0
19,-0.00974210910499096,0.005263737868517637,0.0003352919884491712,-0.000579833984375,-0.015533447265625,0.0,0,0,0
20,-0.00974210910499096,0.005263737868517637,0.0003352919884491712,-0.000579833984375,-0.015533447265625,0.0,0,0,0
21,-0.0016109461430460215,0.004561728797852993,0.002492984989657998,-0.006317138671875,-0.014678955078125,0.0,0,0,0
22,-0.0016109461430460215,0.004561728797852993,0.002492984989657998,-0.006317138671875,-0.014678955078125,0.0,0,0,0
23,-0.0016109461430460215,0.004561728797852993,0.002492984989657998,-0.006317138671875,-0.014678955078125,0.0,0,0,0
24,-0.0016109461430460215,0.004561728797852993,0.002492984989657998,-0.006317138671875,-0.014678955078125,0.0,0,0,0
25,-0.0016109461430460215,0.004561728797852993,0.002492984989657998,-0.006317138671875,-0.014678955078125,0.0,0,0,0
26,-0.0016109461430460215,0.004561728797852993,0.002492984989657998,-0.006317138671875,-0.014678955078125,0.0,0,0,0
27,-0.004567853640764952,0.0032322786282747984,-0.000517718493938446,0.0026702880859375,-0.0220184326171875,0.0,0,0,0
28,-0.004567853640764952,0.0032322786282747984,-0.000517718493938446,0.0026702880859375,-0.0220184326171875,0.0,0,0,0
29,-0.004567853640764952,0.0032322786282747984,-0.000517718493938446,0.0026702880859375,-0.0220184326171875,0.0,0,0,0
30,-0.004567853640764952,0.0032322786282747984,-0.000517718493938446,0.0026702880859375,-0.0220184326171875,0.0,0,0,0
31,-0.004567853640764952,0.0032322786282747984,-0.000517718493938446,0.0026702880859375,-0.0220184326171875,0.0,0,0,0
32,-0.0022090920247137547,0.005135640036314726,0.00036964676110073924,0.0006561279296875,-0.015960693359375,0.0,0,0,0
33,-0.0022090920247137547,0.005135640036314726,0.00036964676110073924,0.0006561279296875,-0.015960693359375,0.0,0,0,0
34,-0.0022090920247137547,0.005135640036314726,0.00036964676110073924,0.0006561279296875,-0.015960693359375,0.0,0,0,0
35,-0.0022090920247137547,0.005135640036314726,0.00036964676110073924,0.0006561279296875,-0.015960693359375,0.0,0,0,0
36,-0.0022090920247137547,0.005135640036314726,0.00036964676110073924,0.0006561279296875,-0.015960693359375,0.0,0,0,0
37,-0.0022090920247137547,0.005135640036314726,0.00036964676110073924,0.0006561279296875,-0.015960693359375,0.0,0,0,0
38,-0.0022090920247137547,0.005135640036314726,0.00036964676110073924,0.0006561279296875,-0.015960693359375,0.0,0,0,0
39,-0.0056949034333229065,-0.004396879114210606,0.002147573046386242,-0.0050201416015625,-0.01324462890625,0.0,0,0,0
40,-0.0056949034333229065,-0.004396879114210606,0.002147573046386242,-0.0050201416015625,-0.01324462890625,0.0,0,0,0
41,-0.0056949034333229065,-0.004396879114210606,0.002147573046386242,-0.0050201416015625,-0.01324462890625,0.0,0,0,0
42,-0.0056949034333229065,-0.004396879114210606,0.002147573046386242,-0.0050201416015625,-0.01324462890625,0.0,0,0,0
43,-0.0056949034333229065,-0.004396879114210606,0.002147573046386242,-0.0050201416015625,-0.01324462890625,0.0,0,0,0
44,-0.0056949034333229065,-0.004396879114210606,0.002147573046386242,-0.0050201416015625,-0.01324462890625,0.0,0,0,0
45,-0.007127151824533939,-0.008162056095898151,-0.0003813646617345512,0.0052947998046875,-0.0221405029296875,0.0,0,0,0
46,-0.007127151824533939,-0.008162056095898151,-0.0003813646617345512,0.0052947998046875,-0.0221405029296875,0.0,0,0,0
47,-0.007127151824533939,-0.008162056095898151,-0.0003813646617345512,0.0052947998046875,-0.0221405029296875,0.0,0,0,0
48,-0.007127151824533939,-0.008162056095898151,-0.0003813646617345512,0.0052947998046875,-0.0221405029296875,0.0,0,0,0
49,-0.007127151824533939,-0.008162056095898151,-0.0003813646617345512,0.0052947998046875,-0.0221405029296875,0.0,0,0,0
50,-0.007141799200326204,-0.01213069912046194,0.002424275502562523,-0.00421142578125,-0.0166168212890625,0.0,0,0,0
51,-0.007141799200326204,-0.01213069912046194,0.002424275502562523,-0.00421142578125,-0.0166168212890625,0.0,0,0,0
52,-0.007141799200326204,-0.01213069912046194,0.002424275502562523,-0.00421142578125,-0.0166168212890625,0.0,0,0,0
53,-0.007141799200326204,-0.01213069912046194,0.002424275502562523,-0.00421142578125,-0.0166168212890625,0.0,0,0,0
54,-0.007141799200326204,-0.01213069912046194,0.002424275502562523,-0.00421142578125,-0.0166168212890625,0.0,0,0,0
55,-0.007141799200326204,-0.01213069912046194,0.002424275502562523,-0.00421142578125,-0.0166168212890625,0.0,0,0,0
56,-0.04051680117845535,-0.09696968644857407,-0.031856734305620193,0.0249481201171875,0.1051483154296875,0.0,0,0,0
57,-0.04051680117845535,-0.09696968644857407,-0.031856734305620193,0.0249481201171875,0.1051483154296875,0.0,0,0,0
58,-0.04051680117845535,-0.09696968644857407,-0.031856734305620193,0.0249481201171875,0.1051483154296875,0.0,0,0,0
59,-0.04051680117845535,-0.09696968644857407,-0.031856734305620193,0.0249481201171875,0.1051483154296875,0.0,0,0,0
60,-0.04051680117845535,-0.09696968644857407,-0.031856734305620193,0.0249481201171875,0.1051483154296875,0.0,0,0,0
61,-0.04051680117845535,-0.09696968644857407,-0.031856734305620193,0.0249481201171875,0.1051483154296875,0.0,0,0,0
62,-0.03356248885393143,-0.07713579386472702,-0.05296521261334419,0.0762176513671875,0.019622802734375,0.0,0,0,0
63,-0.03356248885393143,-0.07713579386472702,-0.05296521261334419,0.0762176513671875,0.019622802734375,0.0,0,0,0
64,-0.03356248885393143,-0.07713579386472702,-0.05296521261334419,0.0762176513671875,0.019622802734375,0.0,0,0,0
65,-0.03356248885393143,-0.07713579386472702,-0.05296521261334419,0.0762176513671875,0.019622802734375,0.0,0,0,0
66,-0.03356248885393143,-0.07713579386472702,-0.05296521261334419,0.0762176513671875,0.019622802734375,0.0,0,0,0
67,-0.003909786697477102,0.03556837886571884,-0.0059753344394266605,0.1728363037109375,0.0085296630859375,0.0,0,0,0
68,-0.003909786697477102,0.03556837886571884,-0.0059753344394266605,0.1728363037109375,0.0085296630859375,0.0,0,0,0
69,-0.003909786697477102,0.03556837886571884,-0.0059753344394266605,0.1728363037109375,0.0085296630859375,0.0,0,0,0
